pk
openGeoDB:is_in
rotor:diameter
ford
to
recycling:packaging
toll
multipolygon
culvert
crossing
openGeoDB:population
name:hsb
name:sv
ref:isil
building
canoe
seamark:buoy_cardinal:colour
endpoint:overhead_line
duration
cycleway:bicycle:designated
build_year
capacity:car
role:lstairs
name:tr
bin
seamark:light:2:group
residents
turn
addr:unit
seamark:navigation_line:orientation
ref:fgkz
railway:signal:minor:states
railway:signal:main:states
turn:lanes
destination
commercial
denomination
backrest
recycling:electrical_appliances
cycleway
bridge
mapping_status
cycleway:both:surface
name:sr
seamark:beacon_lateral:category
direction_southeast
ref:left
disused:bridge
wiki:symbol
note:de
name:als
inline_skates
history:amenity
wetland
roof:color
TMC:cid_58:tabcd_1:LocationCode
ele
name:an
origin
tunnel
name:arc
name:nn
contact:website
area
CEMT
cycleway:left:bicycle
change:lanes
smoking
seamark:beacon_lateral:colour
railway:signal:main:function
hiking
parking:condition:both
info
wall
name:lb
seamark:beacon_lateral:shape
note2:de
lit
rotate
lottery
playground:springy
cycleway:foot
name:en
recycling:plastic
parking
landuse
cocktail
road
direction_southwest
maxspeed:source
boat
mtb:name
roof:colour
access:customer
parking:condition:area
levels.de
name:bn
name:fr
count
company
foot
name:dsb
sport
electrified
voltage
motor_vehicle
service:bicycle:pump
source:name
addr:suburb
seamark:buoy_cardinal:category
health:surgery
access:lanes
payment:aral_card
protect_class
seamark:light:2:colour
TMC:cid_58:tabcd_1:LCLversion
ref_name
construction_year
payment:debit_cards
endpoint:busbar
runway:length
building:levels:underground
recycling:tv_monitor
runway:width
compressed_air
building:cladding
seamark:light:range
xmas:note
capacity:stands
year_of_construction
private_garden
payment:fuel_cards
megalith_type
fire_hydrant:position
direction_northwest
maxheight:physical
building:colour
wikipedia:subject
seamark:buoy_lateral:colour
payment:ep_geldkarte
capacity:hgv
de:regionalschluessel
ref_alt
seamark:light:colour
memorial:death
seamark:daymark:shape
sac_scale
date_on
traffic_signals:vibration
motorcar
motorcycle
bundesfinanzamtnummer
service_hours
bench
blind:description:de
advertising
passage_time
long_name:nl
postal_code
seamark:light:character
seamark:mooring:category
nat_name
pet
railway:signal:combined:function
recycling:rubble
seamark:pilot_boarding:category
bus:backward
model_aerodrome:combustion
closest_town
area:highway
openGeoDB:community_identification_number
model_aerodrome:turbine
car_repair
fuel:octane_98
memorial:type
xmas:name
source:delivery_date
seamark:light:1:group
aircraft:type
openGeoDB:postal_codes
park_ride
billiards:snooker
generator:output:hot_water
compressed_air:valves
loc_name
by_night
source_ref
seamark:light:2:character
maxdraught
office:de
seamark:light:category
seamark:light:1:height
parking:lane:left:inline
loc_ref
int_ref
payment:american_express
winter_service
seamark:light:1:period
parking:lane:left:diagonal
shelter
local_ref
recycling:cans
ethnicity
diplomatic
aed:lastcheck
name_hidden
demolished
change:lanes:forward
board_type
motorroad
motorboat
capacity:women
hour_off
source:tracktype
note_1
hha_ref
lastcheck:collection_times
tailor
artwork_type
manufacturer
recycling:magazines
fuel:1_25
sports_centre
parking:lane:right:inline
tourist_bus
3dr:height1
fuel:octane_100
bicycle_parking
vehicle:conditional
full_name
cutting
de:amtlicher_gemeindeschluessel
elevator
seamark:daymark:colour_pattern
his
doctors
gps_coordinates
bicycle:both
railway
barrier
name:es
official_status:de
gauge
water
color
fuel:GTL_diesel
contact:email
hide
population
name:zh-yue
url
organic
fee:time
diameter
comment
contact:webcam
roof:material
basin
industrial
parking:condition:left:maxstay
distance
symbol:de
de:name_index_city
name:hy
seamark:small_craft_facility:category
addr:postcode
video
cafe
odbl
trackwidth
deck
name:fi
date
shared_taxi
Fachrichtung
maxweight
seamark:landmark:conspicuity
restriction
playground:sandpit
ramp:wheelchair
name:cs
official_status:ru
railway:switch
zone:maxspeed
parking:condition:right:capacity
station
name:hu
traffic_calming:forward
seamark:notice:impact
bicycle:footway
monument:ref
fixme:de
via
name:uk
obstacle
beacon:code
snowmobile
maxspeed:max
segregated:right
operating
operator
tenant
toilets
seats
beacon:colour
seamark:signal_station_warning:category
seamark:signal_station_warning:information
informal
car
footway:left:width
windmill:vanes
healthcare:speciality:physiotherapy
shop_in_shop
payment:dkv
recycling:glass
seamark:small_craft_facility:2:category
recycling:paint
billiards:pool
footway:bicycle
ref:AEFE
de:place
operator:nl
name:is
male
seamark:mooring:water_level
lanes
smoothness
y
name:fa
name:rm
waste
quipe
group:name
addr:full
cycleway:oneway
parking:condition:right:maxstay
parking:condition:right:time_interval
bicycle
TMC:cid_58:tabcd_1:TypeName:loc
name:sk
piste:type
parking:lane:both
lanes:change
building:density:grade
escalator:dir
site
name:da
waterway
fee
step_count
clothes
diving:airfill
source:maxspeed
footway:right:bicycle
right:county
built
name:io
name:mk
railway:signal:stop:form
recycling:sheet_metal
speciality
building:material
seamark:light:1:sector_end
destination:ref
building:roof:shape
playground:swing
operator:it
embankment
contact:phone
frequency
wheelchair:description
type
short_name
tracks
generator:output
dog:free-wheel
operator:pl
color:text
name:ko
name:sw
power_rating
official_name
recycling:polyester
seamark:notice:1:category
note:name
turn:lanes:backward
destination:backward
role:ustairs
name:de
light
name:botanical
railway:signal:distant:states
field
hig
cycleway:left:foot
equipment
highway
lines
iata
passengers
group:county
fuel:AdBlue
segregated
lanes:bus
hvv:barrier_free
name:fy
name:ru
name:be
university:students
school
website
description:de
military
species:de
name:nds
name:he
name:la
line
bollard
light:colour
survey
undefined
cables
abutters
lanes:backward
maxspeed:forward
handrail:left
buker_type
name:scn
ref:bufa
xmas:opening_hours
detour
name:ja
dog
TODO
layer
tourism
name:oc
recycling_type
service:bicycle:repair
stars
contact:fax
seamark:buoy_lateral:category
vattenfall
direction_east
hazmat
footway:right:foot
room
openGeoDB:layer
communications_transponder:modulation
wheelchair:access
person:date_of_death
party
source:fixme
cycleway:right:segregated
maxwidth:bus
source
name:eo
wifi
fare_zone
group:district
steps
roof:levels
survey:name
handrail
onkz
naptan:AtcoCode
railway:position
generator:method
notes
sale
genus:de
socks
note:en
call_box
internet_access:operator
recycling:bicycles
shoes
Mensa
playground:roundabout
recycling:paper_packaging
car_service
health_facility:type
drink:rothaus
project_status
maxheight:backward
nat_ref
building:roof:angle
opengeodb:lat
opening_hours
roof:orientation
ship:type
is_in:county
collection_times
private
capacity
xmas:url
breezeway
traffic_sign
airmark
footway:left:surface
day_off
diesel
second_hand
collection_time
start_date
name_old
lcn_ref
right:suburb
boundary_type
traffic_signals
long_name:de
capacity:disabled
oneway:bicycle
delivery
passing_places
height
xmas:slogan
manufacturer:type
mtb:scale:uphill
honorary
model_aerodrome:heli
lwn_ref
route_ref
recycling:excrement
est_width
hvv:psv_type
recycling:books
seamark:light:3:character
seamark:harbour:category
building:levels
seamark:buoy_special_purpose:shape
building:min_level
disused:amenity
recycling:plastic_packaging
seamark:fog_signal:period
protection_title
openGeoDB:loc_id
openGeoDB:combination_of_public_administration
denotation
border_type
land_area
is_in
maxheight:forward
TMC:cid_58:tabcd_1:Direction
vehicle_inspection
maxheight
xmas:location
octane_98
memorial:text
memorial:birth
seamark:small_craft_facility:1:category
railway:signal:minor:marker_light
is_in:country
name:vi
railway:signal:combined:form
office
shop:gallery
seamark:beacon_cardinal:shape
service:bicycle:second_hand
centralkey
med_general_practice
parking:lane:right:orthogonal
is_in:state
akn:barrier_free_psv_types
drive_in
microbrewery
topmark:flag
ship
fuel:octane_91
payment:credit_cards
bus_lines
crane:ship:maxdraft
capacity:bus
TMC:cid_58:tabcd_1:PrevLocationCode
moped
width:lane:forward
internet_access
outdoor_seating
seamark:buoy_lateral:shape
railway:signal:main:form
railway:signal:minor:form
recycling:cds
fuel:octane_95
fuel:1_50
int_name
power_supply
bus_maxweight
shop
width_of_way
seamark:buoy_special_purpose:colour
taxi
payment:diners_club
route_master
lengths:left
fire_hydrant:type
xmas:feature
power_source
opening_hours:summer
social_facility
crane:mobile
krankenkassen
payment:telephone_cards
addr:housename
old_addr:housenumber
temp
rwetempcharging_station:plug
operator:phone
cycleway:left
year
payment:visa
building:source
pilgrimage
from
women
verified
tree
museum
visibility
color:back
name:zh
indoor
route
psv
cargo
parking:condition:left:capacity
name:xh
maxstay
destination:forward
turn:lanes:forward
architect
roof:shape
wikipedia:lv
name:et
incline
level
female
plug
seamark:notice:2:function
charge
dance:teaching
ramp
source:height
residential
note:building
symbol
vending
harbour:email
hamburgenergie
seamark:notice:1:function
destination:lanes
minage
cycleway:right:foot
aerialway
name:sl
communication:television
escalator
heritage:ref
name:pl
name:th
fax
person:date_of_birth
cycleway:right
roof:height
name:prefix
operator:be
name:it
railway:signal:direction
payment
recycling:small_appliances
harbour:speed
vocational
recycling:fluorescent_tubes
aed:description
junction
wires
network:colour
public_transport
osmarender:renderName
storage
bakery:name
vacancy
phone
enforcement_period
unisex
disused:barrier
aed:opening_hours
proposed
telephone
addr:alternative
viaduct
disused:highway
place
name:lt
name:nds-nl
official_status:en
tower:type
payment:electronic_purses
currency:EUR
mooring
payment:lomo
source:traffic_sign
wheelchair
network
fuel:e10
topmark
seamark:notice:function
noname
